,District,Republican,Democratic,Year,State
0,1st  ,"103,758","48,278",2014,AL
1,2nd  ,"113,103","54,692",2014,AL
2,3rd  ,"103,558","52,816",2014,AL
3,4th ,"132,831",0,2014,AL
4,5th  ,"115,338",0,2014,AL
5,6th  ,"135,945","42,291",2014,AL
6,7th  ,0,"133,687",2014,AL
9,1,"142,572","114,602",2014,AK
11,1st ,"87,723","97,391",2014,AZ
12,2nd ,"109,704","109,543",2014,AZ
13,3d ,"46,185","58,192",2014,AZ
14,4th ,"122,560","45,179",2014,AZ
15,5th,"124,867","54,596",2014,AZ
16,6th ,"129,578","70,198",2014,AZ
17,7th ,0,"54,235",2014,AZ
18,8th ,"128,710",0,2014,AZ
19,9th,"67,841","88,609",2014,AZ
21,1st,"124,139","63,555",2014,AR
22,2d ,"123,073","103,477",2014,AR
23,3d ,"151,630",0,2014,AR
24,4th ,"110,789","87,742",2014,AR
27,1st ,"132,052","84,320",2014,CA
28,2nd ,"54,400","163,124",2014,CA
29,3rd ,"71,036","79,224",2014,CA
30,4th ,"211,134",0,2014,CA
31,5th ,0,"129,613",2014,CA
32,6th ,"36,448","97,008",2014,CA
33,7th ,"91,066","92,521",2014,CA
34,8th ,"77,480","37,056",2014,CA
35,9th ,"57,729","63,475",2014,CA
36,10th ,"70,582","55,123",2014,CA
37,11th ,"57,160","117,502",2014,CA
38,12th ,"32,197","160,067",2014,CA
39,13th ,"21,940","168,491",2014,CA
40,14th ,"34,757","114,389",2014,CA
41,15th ,"43,150","99,756",2014,CA
42,16th ,"44,943","46,277",2014,CA
43,17th ,0,"134,408",2014,CA
44,18th ,"63,326","133,060",2014,CA
45,19th ,0,"127,788",2014,CA
46,20th ,0,"106,034",2014,CA
47,21st ,"45,907","33,470",2014,CA
48,22d   ,"96,053","37,289",2014,CA
49,23d ,"100,317","33,726",2014,CA
50,24th ,"95,566","103,228",2014,CA
51,25th ,"114,072",0,2014,CA
52,26th  ,"82,653","87,176",2014,CA
53,27th ,"51,852","75,728",2014,CA
54,28th ,0,"91,996",2014,CA
55,29th ,"17,045","50,096",2014,CA
56,30th ,"45,315","86,568",2014,CA
57,31st ,"48,162","51,622",2014,CA
58,32d ,"34,053","50,353",2014,CA
59,33d ,"74,700","108,331",2014,CA
60,34th ,0,"61,621",2014,CA
61,35th ,0,"62,255",2014,CA
62,36th ,"61,457","72,682",2014,CA
63,37th ,"18,051","96,787",2014,CA
64,38th ,"40,288","58,192",2014,CA
65,39th ,"91,319","41,906",2014,CA
66,40th ,0,"49,379",2014,CA
67,41st ,"35,936","46,948",2014,CA
68,42d ,"74,540","38,850",2014,CA
69,43d ,"28,521","69,681",2014,CA
70,44th ,0,"59,670",2014,CA
71,45th ,"106,083","56,819",2014,CA
72,46th ,"33,577","49,738",2014,CA
73,47th ,"54,309","69,091",2014,CA
74,48th ,"112,082","62,713",2014,CA
75,49th ,"98,161","64,981",2014,CA
76,50th ,"111,997","45,302",2014,CA
77,51st ,"25,577","356,378",2014,CA
78,52nd ,"92,746","98,826",2014,CA
79,53rd ,"60,940","87,104",2014,CA
81,1st,"80,682","183,281",2014,CO
82,2nd,"149,645","196,300",2014,CO
83,3rd ,"163,011","100,364",2014,CO
84,4th ,"185,292","83,727",2014,CO
85,5th ,"157,182","105,673",2014,CO
86,6th ,"143,467","118,847",2014,CO
87,7th ,"120,918","148,225",2014,CO
90,1st ,"78,609","127,430",2014,CN
91,2d ,"80,837","131,294",2014,CN
92,3d ,"69,454","130,009",2014,CN
93,4th ,"88,209","101,401",2014,CN
94,5th ,"92,404","106,256",2014,CN
96,1,"85,146","137,251",2014,DE
98,1st,"165,086","54,976",2014,FL
99,2nd ,"123,262","126,096",2014,FL
100,3d ,"148,691","73,910",2014,FL
101,4th,"177,887",0,2014,FL
102,5th ,"59,237","112,340",2014,FL
103,6th,"166,254","99,563",2014,FL
104,7th ,"144,474","73,011",2014,FL
105,8th ,"180,728","93,724",2014,FL
106,9th ,"74,963","93,850",2014,FL
107,10th,"143,128","89,426",2014,FL
108,11th,"181,508","90,786",2014,FL
109,12th ,1,0,2014,FL
110,13th ,"168,172",0,2014,FL
111,14th,0,1,2014,FL
112,15th ,"128,750","84,832",2014,FL
113,16th ,"169,126","105,483",2014,FL
114,17th ,"141,493","82,263",2014,FL
115,18th ,"101,896","151,478",2014,FL
116,19th ,"159,354","80,824",2014,FL
117,20th ,"28,968","128,498",2014,FL
118,21st ,0,"153,395",2014,FL
119,22d ,"90,685","125,404",2014,FL
120,23d ,"61,519","103,269",2014,FL
121,24th,"15,239","129,192",2014,FL
122,25th ,1,0,2014,FL
123,26th,"83,031","78,306",2014,FL
124,27th ,1,0,2014,FL
126,1st ,"95,337","61,175",2014,GA
127,2nd ,"66,537","96,363",2014,GA
128,3d,"156,277",0,2014,GA
129,4th ,0,"161,211",2014,GA
130,5th ,0,"170,326",2014,GA
131,6th ,"139,018","71,486",2014,GA
132,7th,"113,557","60,112",2014,GA
134,9th,"146,059","34,988",2014,GA
135,10th ,"130,703","65,777",2014,GA
136,11th ,"161,532",0,2014,GA
137,12th,"91,336","75,478",2014,GA
138,13th ,0,"159,445",2014,GA
139,14th,"118,782",0,2014,GA
142,1st ,"86,454","93,390",2014,HI
143,2nd,"33,630","142,010",2014,HI
146,1st,"143,580","77,277",2014,ID
147,2d,"131,492","82,801",2014,ID
150,1st ,"59,749","162,268",2014,IL
151,2d,"43,799","160,337",2014,IL
152,3d ,"64,091","116,764",2014,IL
153,4th ,"22,278","79,666",2014,IL
154,5th ,"56,350","116,364",2014,IL
155,6th ,"160,287","78,465",2014,IL
156,7th ,"27,168","155,110",2014,IL
157,8th ,"66,878","84,178",2014,IL
158,9th,"72,384","41,000",2014,IL
159,10th ,"95,992","91,136",2014,IL
160,11th ,"81,335","93,436",2014,IL
161,12th ,"110,038","87,860",2014,IL
162,13th ,"123,337","86,935",2014,IL
163,14th,"145,369","76,861",2014,IL
164,15th ,"166,274","55,652",2014,IL
165,16th ,"153,388","63,810",2014,IL
166,17th,"88,785","110,560",2014,IL
167,18th ,"184,363","62,377",2014,IL
170,1st,"51,000","86,579",2014,IN
171,2nd,"85,583","55,590",2014,IN
172,3rd,"97,892","39,771",2014,IN
173,4th,"94,998","47,056",2014,IN
174,5th,"105,277","49,756",2014,IN
175,6th,"102,187","45,509",2014,IN
176,7th,"46,887","61,443",2014,IN
177,8th,"103,344","61,384",2014,IN
178,9th,"101,594","55,016",2014,IN
180,1st,"147,762","141,145",2014,IA
181,2nd,"129,455","143,431",2014,IA
182,3rd,"148,814","119,109",2014,IA
183,4th,"169,834","105,504",2014,IA
186,1st,"138,764","65,397",2014,KS
187,2d,"128,742","87,153",2014,KS
188,3d,"134,493","89,584",2014,KS
189,4th,"138,757","69,396",2014,KS
192,1st,"173,022","63,596",2014,KY
193,2d,"156,936","69,898",2014,KY
194,3d,"87,981","157,056",2014,KY
195,4th,"150,464","71,694",2014,KY
196,5th,"171,350","47,617",2014,KY
197,6th,"147,404","98,290",2014,KY
200,1st,"189,250","46,047",2014,LA
201,2d,0,"190,006",2014,LA
202,3d,"207,926",0,2014,LA
203,4th,"152,683",0,2014,LA
204,5th,"247,211","75,006",2014,LA
205,6th,"234,200","95,127",2014,LA
208,1st,"94,751","186,674",2014,ME
209,2nd,"133,320","118,568",2014,ME
212,1st,"176,342","73,843",2014,MD
213,2d,"70,411","120,412",2014,MD
214,3d,"87,029","128,594",2014,MD
215,4th,"54,217","134,628",2014,MD
216,5th,"80,752","144,725",2014,MD
217,6th,"91,930","94,704",2014,MD
218,7th,"55,860","144,639",2014,MD
219,8th,"87,859","136,722",2014,MD
221,1st,0,"167,612",2014,MA
222,2d,0,"169,640",2014,MA
223,3d,"81,638","139,104",2014,MA
224,4th,0,"184,158",2014,MA
225,5th,0,"182,100",2014,MA
226,6th,"111,989","149,638",2014,MA
227,7th,0,"142,133",2014,MA
228,8th,0,"200,644",2014,MA
229,9th,"114,971","140,413",2014,MA
232,1st,"130,414","113,263",2014,MI
233,2d,"135,568","70,851",2014,MI
234,3d,"125,754","84,720",2014,MI
235,4th,"123,962","85,777",2014,MI
236,5th,"69,222","148,182",2014,MI
237,6th,"116,801","84,391",2014,MI
238,7th,"119,564","92,083",2014,MI
239,8th,"132,739","102,269",2014,MI
240,9th,"81,470","136,342",2014,MI
241,10th,"157,069","67,143",2014,MI
242,11th,"140,435","101,681",2014,MI
243,12th,"64,716","134,346",2014,MI
244,13th,"27,234","132,710",2014,MI
245,14th,"41,801","165,272",2014,MI
248,1st,"103,536","122,851",2014,MS
249,2d,"137,778","95,565",2014,MS
250,3d,"167,515","101,846",2014,MS
251,4th,"79,492","147,857",2014,MS
252,5th,"56,577","167,079",2014,MS
253,6th,"133,328","90,926",2014,MS
254,7th,"109,955","130,546",2014,MS
255,8th,"125,358","129,090",2014,MS
258,1st,"102,622","43,713",2014,MN
259,2d,0,"100,688",2014,MN
260,3d,"117,771","47,744",2014,MN
261,4th,"108,776","37,869",2014,MN
264,1st,"35,273","119,315",2014,MO
265,2d,"148,191","75,384",2014,MO
266,3d,"130,940","52,021",2014,MO
267,4th,"120,014","46,464",2014,MO
268,5th,"69,071","79,256",2014,MO
269,6th,"124,616","55,157",2014,MO
270,7th,"104,054","47,282",2014,MO
271,8th,"106,124","38,721",2014,MO
272,Total,"838,283","513,600",2014,MO
273,1,"203,871","148,690",2014,MT
275,1st,"123,219","55,838",2014,NE
276,2d,"78,157","83,872",2014,NE
277,3d,"139,440","45,524",2014,NE
280,1st,"30,413","45,643",2014,NV
281,2d,"122,402","52,016",2014,NV
282,3d,"88,528","52,644",2014,NV
283,4th,"63,466","59,844",2014,NV
285,1st,"125,508","116,769",2014,NH
286,2d,"106,871","130,700",2014,NH
289,1st,"64,073","93,315",2014,NJ
290,2d,"108,875","66,026",2014,NJ
291,3d,"100,471","82,537",2014,NJ
292,4th,"118,826","54,415",2014,NJ
293,5th,"104,678","81,808",2014,NJ
294,6th,"46,891","72,190",2014,NJ
295,7th,"104,287","68,232",2014,NJ
296,8th,"15,141","61,510",2014,NJ
297,9th,"36,246","82,498",2014,NJ
298,10th,"14,154","95,734",2014,NJ
299,11th,"109,455","65,477",2014,NJ
300,12th,"54,168","90,430",2014,NJ
303,1st,"74,558","105,474",2014,NM
304,2d,"95,209","52,499",2014,NM
305,3d,"70,775","113,249",2014,NM
308,1st,"77,062","68,387",2014,NY
309,2d,0,"41,814",2014,NY
310,3d,"63,219","80,393",2014,NY
311,4th,0,"83,772",2014,NY
312,5th,0,"75,712",2014,NY
313,6th,0,"49,227",2014,NY
314,7th,"5,713","47,142",2014,NY
315,8th,0,"70,469",2014,NY
316,9th,0,"70,997",2014,NY
317,10th,0,"73,945",2014,NY
318,11th,"48,291","41,429",2014,NY
319,12th,"19,564","78,440",2014,NY
320,13th,0,"63,437",2014,NY
321,14th,0,"45,370",2014,NY
322,15th,0,"53,128",2014,NY
323,16th,0,"90,088",2014,NY
324,17th,"63,549","89,295",2014,NY
325,18th,"66,523","76,235",2014,NY
326,19th,"102,118","60,533",2014,NY
327,20th,"61,820","103,437",2014,NY
328,21st,"79,615","53,140",2014,NY
329,22d,"113,574",0,2014,NY
330,23d,"94,375","60,233",2014,NY
331,24th,"93,881","72,631",2014,NY
332,25th,"75,990","87,264",2014,NY
333,26th,"38,477","100,648",2014,NY
334,27th,"109,171","50,939",2014,NY
336,1st,"55,990","154,333",2014,NC
337,2d,"122,128","85,479",2014,NC
338,3d,"139,415","66,182",2014,NC
339,4th,"57,416","169,946",2014,NC
340,5th,"139,279","88,973",2014,NC
341,6th,"147,312","103,758",2014,NC
342,7th,"134,431","84,054",2014,NC
343,8th,"121,568","65,854",2014,NC
344,9th,"163,080",0,2014,NC
345,10th,"133,504","85,292",2014,NC
346,11th,"144,682","85,342",2014,NC
347,12th,"42,568","130,096",2014,NC
348,13th,"153,991","114,718",2014,NC
351,1st,"124,779","72,604",2014,ND
352,2d,"132,658","68,453",2014,OH
353,3d,"51,475","91,769",2014,OH
354,4th,"125,907","60,165",2014,OH
355,5th,"134,449","58,507",2014,OH
356,6th,"111,026","73,561",2014,OH
357,7th,"143,959",0,2014,OH
358,8th,"126,539","51,534",2014,OH
359,9th,"51,704","108,870",2014,OH
360,10th,"130,752","63,249",2014,OH
361,11th,"35,461","137,105",2014,OH
362,12th,"150,573","61,360",2014,OH
363,13th,"55,233","120,230",2014,OH
364,14th,"135,736","70,856",2014,OH
365,15th,"128,496","66,125",2014,OH
366,16th,"132,176","75,199",2014,OH
368,1st,-1,0,2014,OH
369,2d,"110,925","38,964",2014,OK
370,3d,"133,335","36,270",2014,OK
371,4th,"117,721","40,998",2014,OK
372,5th,"95,632","57,790",2014,OK
375,1st,"96,245","160,038",2014,OK
376,2d,"202,374","73,785",2014,OK
377,3d,"57,424","211,748",2014,OK
378,4th,"116,534","181,624",2014,OR 
379,5th,"110,332","150,944",2014,OR 
382,1st,"27,193","131,248",2014,PA 
383,2d,"25,397","181,141",2014,PA 
384,3d,"113,859","73,931",2014,PA 
385,4th,"147,090","50,250",2014,PA
386,5th,"115,018","65,839",2014,PA
387,6th,"119,643","92,901",2014,PA
388,7th,"145,869","89,256",2014,PA
389,8th,"137,731","84,767",2014,PA
390,9th,"110,094","63,223",2014,PA
391,10th,"112,851","44,737",2014,PA
392,11th,"122,464","62,228",2014,PA
393,12th,"127,993","87,928",2014,PA
394,13th,"60,549","123,601",2014,PA
395,14th,0,"148,351",2014,PA
396,15th,"128,285",0,2014,PA
397,16th,"101,722","74,513",2014,PA
398,17th,"71,371","93,680",2014,PA
399,18th,"166,076",0,2014,PA
400,18th,"166,076",0,2014,PA
402,1st,"58,877","87,060",2014,RI
403,2nd,"63,844","105,716",2014,RI
406,1st,"119,392",0,2014,SC
407,2nd,"121,649","68,719",2014,SC
408,3rd,"116,741","47,181",2014,SC
409,4th,"126,452",0,2014,SC
410,5th,"103,078","66,802",2014,SC
411,6th,"44,311","125,747",2014,SC
412,7th,"102,833","68,576",2014,SC
415,1,"183,834","92,485",2014,SD
417,1st,"115,533",0,2014,TN
418,2d,"120,883","37,612",2014,TN
419,3d,"97,344","53,983",2014,TN
420,4th,"84,815","51,357",2014,TN
421,5th,"55,078","96,148",2014,TN
422,6th,"115,231","37,232",2014,TN
423,7th,"110,534","42,280",2014,TN
424,8th,"122,255","42,433",2014,TN
425,9th,"27,173","87,376",2014,TN
428,1st,"115,084","33,476",2014,TX
429,2d,"101,936","44,462",2014,TX
430,3d,"113,404",0,2014,TX
431,4th,"115,085",0,2014,TX
432,5th,"88,998",0,2014,TX
433,6th,"92,334","55,027",2014,TX
434,7th,"90,606","49,478",2014,TX
435,8th,"125,066",0,2014,TX
436,9th,0,"78,109",2014,TX
437,10th,"109,726","60,243",2014,TX
438,11th,"107,939",0,2014,TX
439,12th,"113,186","41,757",2014,TX
440,13th,"110,842","16,822",2014,TX
441,14th,"90,116","52,545",2014,TX
442,15th,"39,016","48,708",2014,TX
443,16th,"21,324","49,338",2014,TX
444,17th,"85,807","43,049",2014,TX
445,18th,"26,249","76,097",2014,TX
446,19th,"90,160","21,458",2014,TX
447,20th,0,"66,554",2014,TX
448,21st,"135,660",0,2014,TX
449,22d,"100,861","47,844",2014,TX
450,23d,"57,459","55,037",2014,TX
451,24th,"93,712","46,548",2014,TX
452,25th,"107,120","64,463",2014,TX
453,26th,"116,944",0,2014,TX
454,27th,"83,342","44,152",2014,TX
455,28th,0,"62,508",2014,TX
456,29th,0,"41,321",2014,TX
457,30th,0,"93,041",2014,TX
458,31st,"91,607","45,715",2014,TX
459,32d,"96,495","55,325",2014,TX
460,33d,0,"43,769",2014,TX
461,34th,"30,811","47,503",2014,TX
462,35th,"32,040","60,124",2014,TX
463,36th,"101,663","29,543",2014,TX
466,1st,"84,231","36,422",2014,UT
467,2d,"88,915","47,585",2014,UT
468,3d,"102,952","32,059",2014,UT
469,4th,"74,936","67,425",2014,UT
471,1st,"131,861","72,059",2014,VA
472,2d,"101,558","71,178",2014,VA
473,3d,0,"139,197",2014,VA
474,4th,"120,684","75,270",2014,VA
475,5th,"124,735","73,482",2014,VA
476,6th,"133,898",0,2014,VA
477,7th,"148,026","89,914",2014,VA
478,8th,"63,810","128,102",2014,VA
479,9th,"117,465",0,2014,VA
480,10th,"125,914","89,957",2014,VA
481,11th,"75,796","106,780",2014,VA
484,1,"59,432","123,349",2014,VT
485,1st,"101,428","124,151",2014,WA
486,2d,"79,518","122,173",2014,WA
487,3d,"124,796","78,018",2014,WA
488,4th,"153,079",0,2014,WA
489,5th,"135,470","87,772",2014,WA
490,6th,"83,025","141,265",2014,WA
491,7th,"47,921","203,954",2014,WA
492,8th,"125,741","73,003",2014,WA
493,9th,"48,662","118,132",2014,WA
494,10th,"82,213","99,279",2014,WA
496,1st,"92,491","52,109",2014,WV
497,2d,"72,619","67,687",2014,WV
498,3d,"77,713","62,688",2014,WV
501,1st,"182,316","105,552",2014,WI
502,2d,"103,619","224,920",2014,WI
503,3d,"119,540","155,368",2014,WI
504,4th,"68,490","179,045",2014,WI
505,5th,"231,160","101,190",2014,WI
506,6th,"169,767","122,212",2014,WI
507,7th,"169,891","112,949",2014,WI
508,8th,"188,553","101,345",2014,WI
510,1,"113,038","37,803",2014,WY
